PV technology (raw text),PV technology,PV technology detail,scope of study,duration (raw text),duration in years,start year,end year,system capacity (raw text),system capacity in Watts,number of PV modules in study,PV module nominal power (raw text),PV module nominal power in Watts,country,location (raw text),location,PV module name,bifacial,mounting,Annual power degradation rate (raw text),Annual power degradation rate in percent,location of information,confidence level,Annual degradation rate of other parameters,degradation metric,analysis method,number of measurements for degradation analysis,source of initial power value,other examination techs,faults (raw text),faults,grid-connected,materials and construction,note,event id,record scope,event name,event date,event date (raw text),primary cause,cause categories,cause (raw text),failure mode,impact summary,affected capacity (raw text),affected modules (raw text),city,county,state/region,latitude,longitude,location method,location precision,location evidence,event evidence,weather evidence,source title,source file,source pages,source URL,review status,workbook event id,hazard category (workbook),hazard detail (workbook),named event / cause (workbook),severity,reported loss,capacity MW (workbook),source type (workbook),workbook confidence,workbook verification status,source review / research needed,workbook notes,source capture status
not reported,not reported,not reported,system level,2014,not reported,2014,2014,not reported,not reported,not reported,not reported,not reported,Australia,Canberra,"-35.297591, 149.101268",not reported,not reported,not reported,not reported,not reported,"[""text""]",0.91,not reported,not reported,not reported,not reported,not reported,"[""generation data""]",Generation curtailment due to irradiance-blocking smoke.,"[""smoke-related generation loss""]",not reported,not reported,"Coordinates are a Canberra locality centroid, not the PV-site location.",PVF-011,single PV site,Canberra wildfire-smoke PV generation loss,2014,2014,wildfire,"[""wildfire"", ""smoke""]",Wildfire smoke reduced irradiance.,Generation curtailment due to irradiance-blocking smoke.,Peak PV generation at one site fell by 27%.,not reported,not reported,Canberra,not reported,Australian Capital Territory,-35.297591,149.101268,geocoded_openstreetmap,geocoded_city,The report identifies a PV site in Canberra.,The report gives a 27% peak-generation reduction at the site.,The performance loss is attributed to a 2014 fire event.,IEA PVPS T13-33: Operational and Economic Impacts of Extreme Weather on PV Power Plants,IEA-PVPS-T13-33-2025-REPORT-Extreme-Weather-Impacts.pdf,57,https://doi.org/10.69766/FFNG4976,source-reviewed,not applicable,wildfire,Wildfire smoke reduced irradiance.,The performance loss is attributed to a 2014 fire event.,not reported,not reported,not reported,supplied report,0.91,source-reviewed,not reported,"Coordinates are a Canberra locality centroid, not the PV-site location.",supplied local report
not reported,not reported,not reported,system level,New South Wales Wildfires of 2019-2020,not reported,2019,2020,not reported,not reported,not reported,not reported,not reported,Australia,New South Wales,not reported,not reported,not reported,roof,not reported,not reported,"[""text""]",0.94,not reported,not reported,not reported,not reported,not reported,"[""time-series generation data"", ""PM2.5 sensors""]",Reduced PV output due to smoke attenuation.,"[""smoke-related generation loss""]",not reported,not reported,State-wide portfolio; no arbitrary state-centroid coordinate is used.,PVF-012,multi-site study aggregate,New South Wales wildfire-smoke rooftop PV losses,2019-2020,New South Wales Wildfires of 2019-2020,wildfire,"[""wildfire"", ""smoke""]",Wildfire smoke particulate matter (PM2.5).,Reduced PV output due to smoke attenuation.,170 distributed rooftop systems had an estimated total energy loss of 175 ± 35 GWh.,not reported,not reported,not reported,not reported,New South Wales,not reported,not reported,unmapped,not_reported,The study covers 170 distributed rooftop PV systems across New South Wales.,Historic energy data were correlated with nearby PM2.5 measurements.,The event is the New South Wales wildfires of 2019-2020.,IEA PVPS T13-33: Operational and Economic Impacts of Extreme Weather on PV Power Plants,IEA-PVPS-T13-33-2025-REPORT-Extreme-Weather-Impacts.pdf,57-58,https://doi.org/10.69766/FFNG4976,source-reviewed,not applicable,wildfire,Wildfire smoke particulate matter (PM2.5).,The event is the New South Wales wildfires of 2019-2020.,not reported,not reported,not reported,supplied report,0.94,source-reviewed,not reported,State-wide portfolio; no arbitrary state-centroid coordinate is used.,supplied local report
not reported,not reported,not reported,system level,California wildfires of 2020,not reported,2020,2020,not reported,not reported,not reported,not reported,not reported,United States,California,not reported,not reported,not reported,not reported,not reported,not reported,"[""text""]",0.92,not reported,not reported,not reported,not reported,not reported,"[""generation analysis"", ""satellite/forecast smoke model""]",Reduced solar generation during peak wildfire season.,"[""smoke-related generation loss""]",not reported,not reported,State-wide aggregate; no single coordinate is assigned.,PVF-013,regional generation aggregate,California wildfire-smoke solar generation decline,2020,California wildfires of 2020,wildfire,"[""wildfire"", ""smoke""]",Wildfire smoke reduced solar irradiance.,Reduced solar generation during peak wildfire season.,California solar generation declined by nearly 30% on average relative to the same month in the prior year.,not reported,not reported,not reported,not reported,California,not reported,not reported,unmapped,not_reported,The source reports a California-wide generation comparison.,The report cites a nearly 30% average decline in solar generation.,The effect is attributed to the 2020 California wildfire season.,IEA PVPS T13-33: Operational and Economic Impacts of Extreme Weather on PV Power Plants,IEA-PVPS-T13-33-2025-REPORT-Extreme-Weather-Impacts.pdf,58-59,https://doi.org/10.69766/FFNG4976,source-reviewed,not applicable,wildfire,Wildfire smoke reduced solar irradiance.,The effect is attributed to the 2020 California wildfire season.,not reported,not reported,not reported,supplied report,0.92,source-reviewed,not reported,State-wide aggregate; no single coordinate is assigned.,supplied local report
not reported,not reported,not reported,system level,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,Singapore,Singapore,"1.357107, 103.819499",not reported,not reported,not reported,not reported,not reported,"[""text""]",0.88,not reported,not reported,not reported,not reported,not reported,"[""generation analysis""]",Reduced PV energy output due to smoke attenuation.,"[""smoke-related generation loss""]",not reported,not reported,Coordinates are a Singapore locality centroid; the event date and facility are not reported.,PVF-014,single PV system,Singapore PV smoke-related generation loss from Sumatra fires,not reported,not reported,wildfire,"[""wildfire"", ""smoke""]",Smoke from burning forests in Sumatra.,Reduced PV energy output due to smoke attenuation.,Energy output fell by 15-25%.,not reported,not reported,Singapore,not reported,Singapore,1.357107,103.819499,geocoded_openstreetmap,geocoded_city,The source identifies the affected PV system as being in Singapore.,The report states a 15-25% reduction in PV energy output.,The source attributes the loss to smoke from burning forests in Sumatra.,IEA PVPS T13-33: Operational and Economic Impacts of Extreme Weather on PV Power Plants,IEA-PVPS-T13-33-2025-REPORT-Extreme-Weather-Impacts.pdf,57,https://doi.org/10.69766/FFNG4976,source-reviewed,not applicable,wildfire,Smoke from burning forests in Sumatra.,The source attributes the loss to smoke from burning forests in Sumatra.,not reported,not reported,not reported,supplied report,0.88,source-reviewed,not reported,Coordinates are a Singapore locality centroid; the event date and facility are not reported.,supplied local report
not reported,not reported,not reported,system level,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,United States,"Las Vegas, USA","36.167426, -115.148413",not reported,not reported,roof,not reported,not reported,"[""text""]",0.88,not reported,not reported,not reported,not reported,not reported,"[""performance-loss-rate analysis""]",Higher post-event performance loss rates on exposed building and carport subsystems.,"[""wind-related performance degradation""]",not reported,not reported,Coordinates are a Las Vegas locality centroid; source date and facility name are not reported.,PVF-015,single multi-building PV site,Las Vegas high-wind PV performance degradation,not reported,not reported,wind,"[""wind""]",High wind event in the 90-115 km/h range.,Higher post-event performance loss rates on exposed building and carport subsystems.,The source reports elevated post-windstorm performance loss rates for exposed subsystems; no numerical value is reported.,not reported,not reported,Las Vegas,Clark County,Nevada,36.167426,-115.148413,geocoded_openstreetmap,geocoded_city,"The report identifies the site as Las Vegas, USA.",Exposed carport/building subsystems had greater post-storm performance loss rates.,Wind gusts were in the 90-115 km/h category.,Extreme weather impact on PV - resilience lessons for long-term performance,jordan_extreme_weather_impacts.pdf,2-3,not reported,source-reviewed,not applicable,wind,High wind event in the 90-115 km/h range.,Wind gusts were in the 90-115 km/h category.,not reported,not reported,not reported,supplied report,0.88,source-reviewed,not reported,Coordinates are a Las Vegas locality centroid; source date and facility name are not reported.,supplied local report
not reported,not reported,not reported,system level,not reported,not reported,not reported,not reported,not reported,not reported,about 6 uplifted,not reported,not reported,United States,"Colorado, USA",not reported,not reported,not reported,roof,not reported,not reported,"[""text""]",0.91,not reported,not reported,not reported,not reported,not reported,"[""visual inspection"", ""performance-loss-rate analysis""]",Modules uplifted from roof; double-clamp failure and bent mounting rack.,"[""module uplift"", ""double-clamp failure"", ""bent mounting rack""]",not reported,not reported,Only the state is supplied; no coordinate is assigned.,PVF-016,single rooftop PV site,Colorado rooftop PV windstorm damage,not reported,not reported,wind,"[""wind""]",Wind gusts in the 90-115 km/h range.,Modules uplifted from roof; double-clamp failure and bent mounting rack.,About half a dozen modules were uplifted from the roof to the ground.,not reported,about 6 uplifted,not reported,not reported,Colorado,not reported,not reported,unmapped,not_reported,"The figure caption identifies a PV site in Colorado, USA.","The text describes uplifted modules, double-clamp failure, and a bent mounting rack.",The site was exposed to wind gusts in the 90-115 km/h category.,Extreme weather impact on PV - resilience lessons for long-term performance,jordan_extreme_weather_impacts.pdf,3,not reported,source-reviewed,not applicable,wind,Wind gusts in the 90-115 km/h range.,The site was exposed to wind gusts in the 90-115 km/h category.,not reported,not reported,not reported,supplied report,0.91,source-reviewed,not reported,Only the state is supplied; no coordinate is assigned.,supplied local report
not reported,not reported,not reported,system level,2026-07-21,not reported,2026,2026,not reported,not reported,not reported,not reported,not reported,Italy,"San Benedetto del Tronto and Monteroberto/Jesi area, Marche, Italy",not reported,not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.9,not reported,not reported,not reported,not reported,not reported,not reported,Module glass and array destruction,"[""hail""]",not reported,not reported,User-supplied web-search workbook record R-0001; source capture statuses: captured (https://www.pv-magazine.com/2026/07/23/hail-storm-damages-pv-systems-across-italys-marche-region/); captured (https://www.pv-magazine.it/2026/07/23/la-grandine-nelle-marche-danneggia-anche-il-fotovoltaico/),PVF-017,Regional / portfolio evidence,Multiple PV systems affected by Marche hailstorm,2026-07-21,2026-07-21,hail,"[""hail""]",Hail | Module glass and array destruction | Severe localized hail,Module glass and array destruction,"A violent hailstorm damaged multiple PV installations in the Marche region. An industry representative reported one managed system near San Benedetto del Tronto with estimated losses of €80,000–€90,000; a similar early-June storm reportedly destroyed two systems at Monteroberto near Jesi.",not reported,not reported,San Benedetto del Tronto and Monteroberto/Jesi area,not reported,Marche,not reported,not reported,unmapped,not_reported,not reported,"A violent hailstorm damaged multiple PV installations in the Marche region. An industry representative reported one managed system near San Benedetto del Tronto with estimated losses of €80,000–€90,000; a similar early-June storm reportedly destroyed two systems at Monteroberto near Jesi.",Hail | Severe localized hail,Web source: www.pv-magazine.com | Web source: www.pv-magazine.it,www-pv-magazine-com_page_e8d817027106.pdf | www-pv-magazine-it_page_712702410948.pdf,web source,https://www.pv-magazine.com/2026/07/23/hail-storm-damages-pv-systems-across-italys-marche-region/ | https://www.pv-magazine.it/2026/07/23/la-grandine-nelle-marche-danneggia-anche-il-fotovoltaico/,verified_websearch_workbook,R-0001,Hail,Module glass and array destruction,Severe localized hail,Major / regional,not reported,not reported,Trade publication quoting industry operator,High,Verified,"Identify owners, capacities, module counts, insurance claims, and exact coordinates for each affected installation.",Portfolio record; do not split into discrete incidents without site-level source records. | Newly found during rebuild; master-database dedupe unresolved.,captured | captured
not reported,not reported,not reported,system level,2026-07-12,not reported,2026,2026,not reported,not reported,not reported,not reported,not reported,United States,"Manchester, Hartford County, Connecticut, United States","41.800000, -72.550000",not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.9,not reported,not reported,not reported,not reported,not reported,not reported,Multiple rooftop PV banks burned,"[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0002; source capture statuses: captured (https://www.wfsb.com/2026/07/12/solar-panels-catch-fire-roof-manchester-walmart/); captured (https://www.ctinsider.com/journalinquirer/article/manchester-walmart-solar-panel-fire-roof-reopens-22342397.php),PVF-018,Discrete incident,"Walmart rooftop PV, 420 Buckland Hills Drive",2026-07-12,2026-07-12,equipment_failure,"[""equipment_failure""]",Fire | Multiple rooftop PV banks burned | Cause under investigation,Multiple rooftop PV banks burned,"Several banks of rooftop solar panels were actively burning when firefighters arrived. A store employee had already used extinguishers; crews completed extinguishment, secured the PV system, and checked for extension. The roof sustained minor damage, the store closed for about one hour, and no injuries were reported.",not reported,not reported,Manchester,Hartford County,Connecticut,41.800000,-72.550000,source_reported_workbook,not reported,Workbook coordinate precision: not reported.,"Several banks of rooftop solar panels were actively burning when firefighters arrived. A store employee had already used extinguishers; crews completed extinguishment, secured the PV system, and checked for extension. The roof sustained minor damage, the store closed for about one hour, and no injuries were reported.",Fire | Cause under investigation,Web source: www.wfsb.com | Web source: www.ctinsider.com,www-wfsb-com_page_e41eed31ac7f.pdf | www-ctinsider-com_manchester-walmart-solar-panel-fire-roof-reopens-22342397-php_e26b234c0a15.pdf,web source,https://www.wfsb.com/2026/07/12/solar-panels-catch-fire-roof-manchester-walmart/ | https://www.ctinsider.com/journalinquirer/article/manchester-walmart-solar-panel-fire-roof-reopens-22342397.php,verified_websearch_workbook,R-0002,Fire,Multiple rooftop PV banks burned,Cause under investigation,Localized,not reported,not reported,Fire-department statements via major local news,High,Verified,Obtain Manchester Fire Department incident report and final cause determination.,Newly found after the failed-download run; not known whether it existed in the unavailable master. | Newly found during rebuild; master-database dedupe unresolved.,captured | captured
not reported,not reported,not reported,system level,2026-07-08,not reported,2026,2026,not reported,not reported,not reported,not reported,not reported,United Kingdom,"Malton, North Yorkshire, England, United Kingdom","54.136000, -0.799000",not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.9,not reported,not reported,not reported,not reported,not reported,not reported,Rooftop PV-origin fire with building loss,"[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0003; source capture statuses: captured (https://www.tewv.nhs.uk/ongoing-incident-on-the-site-of-springwood-in-malton/); captured (https://www.hellorayo.co.uk/greatest-hits/york-north-yorkshire/news/malton-hospital-fire-investigation),PVF-019,Discrete incident,"Springwood unit, Malton and Norton District Hospital",2026-07-08,2026-07-08,equipment_failure,"[""equipment_failure""]",Fire | Rooftop PV-origin fire with building loss | Most likely began at one rooftop solar panel; finer cause indeterminable,Rooftop PV-origin fire with building loss,The Springwood mental-health unit was evacuated and extensively destroyed. The NHS trust reported that North Yorkshire Fire and Rescue Service established that the fire most likely started at one of the rooftop solar panels; damage to the panels prevented a more specific finding. Fifteen patients were evacuated and no one was harmed.,not reported,not reported,Malton,North Yorkshire,England,54.136000,-0.799000,source_reported_workbook,not reported,Workbook coordinate precision: not reported.,The Springwood mental-health unit was evacuated and extensively destroyed. The NHS trust reported that North Yorkshire Fire and Rescue Service established that the fire most likely started at one of the rooftop solar panels; damage to the panels prevented a more specific finding. Fifteen patients were evacuated and no one was harmed.,Fire | Most likely began at one rooftop solar panel; finer cause indeterminable,Web source: www.tewv.nhs.uk | Web source: www.hellorayo.co.uk,www-tewv-nhs-uk_page_2d2dded04689.pdf | www-hellorayo-co-uk_malton-hospital-fire-investigation_c3e47b4d1fd8.pdf,web source,https://www.tewv.nhs.uk/ongoing-incident-on-the-site-of-springwood-in-malton/ | https://www.hellorayo.co.uk/greatest-hits/york-north-yorkshire/news/malton-hospital-fire-investigation,verified_websearch_workbook,R-0003,Fire,Rooftop PV-origin fire with building loss,Most likely began at one rooftop solar panel; finer cause indeterminable,Catastrophic / facility,not reported,not reported,NHS trust / fire-service finding via local news,High,Verified,"Obtain the promised full fire-investigation report, module/inverter details, and quantified property loss.",Distinct from the Suffolk school incidents. | Recovered from conversation summary and reverified.,captured | captured
not reported,not reported,not reported,system level,2026-06-24,not reported,2026,2026,not reported,not reported,not reported,not reported,not reported,United Kingdom,"Ipswich, Suffolk, England, United Kingdom",not reported,not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.62,not reported,not reported,not reported,not reported,not reported,not reported,Rooftop PV-associated roof fire,"[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0004; source capture statuses: captured (https://www.suffolk.gov.uk/council-and-democracy/council-news/suffolk-county-council-takes-precautionary-action-following-school-fire); captured (https://www.fia.uk.com/news/solar-panel-fires-at-suffolk-schools-prompt-safety-review.html),PVF-020,Discrete incident,Sidegate Primary School rooftop PV,2026-06-24,2026-06-24,equipment_failure,"[""equipment_failure""]",Electrical fire | Rooftop PV-associated roof fire | Origin around rooftop PV equipment; final technical cause pending,Rooftop PV-associated roof fire,A roof fire involving the school's solar installation prompted evacuation of about 650 pupils and 100 staff. Suffolk County Council reported early fire-service indications of a possible link to the roof-mounted installation; the incident triggered precautionary isolation of PV systems at roughly 80 county schools.,not reported,not reported,Ipswich,Suffolk,England,not reported,not reported,unmapped,not_reported,not reported,A roof fire involving the school's solar installation prompted evacuation of about 650 pupils and 100 staff. Suffolk County Council reported early fire-service indications of a possible link to the roof-mounted installation; the incident triggered precautionary isolation of PV systems at roughly 80 county schools.,Electrical fire | Origin around rooftop PV equipment; final technical cause pending,Web source: www.suffolk.gov.uk | Web source: www.fia.uk.com,www-suffolk-gov-uk_suffolk-county-council-takes-precautionary-action-following-school-fir_6a70f9dc6ebe.pdf | www-fia-uk-com_solar-panel-fires-at-suffolk-schools-prompt-safety-review-html_e6c66dcc4898.pdf,web source,https://www.suffolk.gov.uk/council-and-democracy/council-news/suffolk-county-council-takes-precautionary-action-following-school-fire | https://www.fia.uk.com/news/solar-panel-fires-at-suffolk-schools-prompt-safety-review.html,partially_verified_websearch_workbook,R-0004,Electrical fire,Rooftop PV-associated roof fire,Origin around rooftop PV equipment; final technical cause pending,Major,not reported,not reported,Local government / fire-industry association,Medium,Partially verified,Obtain Suffolk Fire and Rescue final investigation and identify the failed component.,One of three Suffolk school incidents; treat as discrete. | Recovered from conversation record.,captured | captured
not reported,not reported,not reported,system level,2026-05-19,not reported,2026,2026,not reported,not reported,not reported,not reported,not reported,United States,"Stratford, Fairfield County, Connecticut, United States",not reported,not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.9,not reported,not reported,not reported,not reported,not reported,not reported,Rooftop modules and roofing material burned,"[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0005; source capture statuses: captured (https://www.ctpost.com/news/article/stratford-home-fire-solar-panels-clover-street-22267359.php),PVF-021,Discrete incident,Residential rooftop PV on Clover Street,2026-05-19,2026-05-19,equipment_failure,"[""equipment_failure""]",Fire | Rooftop modules and roofing material burned | Cause under investigation,Rooftop modules and roofing material burned,Multiple rooftop modules caught fire and flames extended into the roofing material. Firefighters disconnected the solar system; photographs showed damage to at least six panels. Occupants evacuated and no injuries were reported.,not reported,not reported,Stratford,Fairfield County,Connecticut,not reported,not reported,unmapped,not_reported,not reported,Multiple rooftop modules caught fire and flames extended into the roofing material. Firefighters disconnected the solar system; photographs showed damage to at least six panels. Occupants evacuated and no injuries were reported.,Fire | Cause under investigation,Web source: www.ctpost.com,www-ctpost-com_stratford-home-fire-solar-panels-clover-street-22267359-php_5605f5094bef.pdf,web source,https://www.ctpost.com/news/article/stratford-home-fire-solar-panels-clover-street-22267359.php,verified_websearch_workbook,R-0005,Fire,Rooftop modules and roofing material burned,Cause under investigation,Localized,not reported,not reported,Local news quoting fire chief,High,Verified,Obtain Stratford Fire Marshal final cause determination and repair cost.,Distinct residential incident. | Recovered from conversation record and reverified.,captured
not reported,not reported,not reported,system level,2026-05-08,not reported,2026,2026,not reported,not reported,not reported,not reported,not reported,United States,"Waterbury, New Haven County, Connecticut, United States",not reported,not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.9,not reported,not reported,not reported,not reported,not reported,not reported,Rooftop PV fire,"[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0006; source capture statuses: captured (https://www.wfsb.com/2026/05/08/firefighters-rescue-elderly-woman-home-after-solar-panel-fire/); captured (https://www.ctpost.com/waterbury/article/waterbury-solar-panel-roof-fire-rescue-22250965.php),PVF-022,Discrete incident,Residential rooftop PV on Clough Road,2026-05-08,2026-05-08,equipment_failure,"[""equipment_failure""]",Fire | Rooftop PV fire | Cause not published,Rooftop PV fire,Firefighters responded to rooftop solar panels on fire and assisted an elderly resident from the home. The fire was controlled within six minutes; no civilian or firefighter injuries were reported and the resident was not displaced.,not reported,not reported,Waterbury,New Haven County,Connecticut,not reported,not reported,unmapped,not_reported,not reported,Firefighters responded to rooftop solar panels on fire and assisted an elderly resident from the home. The fire was controlled within six minutes; no civilian or firefighter injuries were reported and the resident was not displaced.,Fire | Cause not published,Web source: www.wfsb.com | Web source: www.ctpost.com,www-wfsb-com_page_9bfc71f20bce.pdf | www-ctpost-com_waterbury-solar-panel-roof-fire-rescue-22250965-php_4da12bfc868a.pdf,web source,https://www.wfsb.com/2026/05/08/firefighters-rescue-elderly-woman-home-after-solar-panel-fire/ | https://www.ctpost.com/waterbury/article/waterbury-solar-panel-roof-fire-rescue-22250965.php,verified_websearch_workbook,R-0006,Fire,Rooftop PV fire,Cause not published,Localized,not reported,not reported,Fire-department statements via major local news,High,Verified,Obtain Waterbury Fire Marshal cause finding and quantify panel/roof damage.,Distinct residential incident. | Recovered from conversation summary and reverified.,captured | captured
not reported,not reported,not reported,system level,2026-03,not reported,2026,2026,not reported,not reported,not reported,not reported,not reported,United Kingdom,"Brantham, Suffolk, England, United Kingdom",not reported,not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.62,not reported,not reported,not reported,not reported,not reported,not reported,Rooftop PV-associated school fire,"[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0007; source capture statuses: captured (https://www.fia.uk.com/news/solar-panel-fires-at-suffolk-schools-prompt-safety-review.html); captured (https://www.suffolk.gov.uk/council-and-democracy/council-news/suffolk-county-council-takes-precautionary-action-following-school-fire),PVF-023,Discrete incident,Brooklands Primary School rooftop PV,2026-03,2026-03,equipment_failure,"[""equipment_failure""]",Electrical fire | Rooftop PV-associated school fire | Cause not fully published,Rooftop PV-associated school fire,"A school fire was reported as involving or originating around the rooftop solar-panel system. Publicly accessible reporting has not yet yielded an exact date, quantified damage, or a final component-level cause.",not reported,not reported,Brantham,Suffolk,England,not reported,not reported,unmapped,not_reported,not reported,"A school fire was reported as involving or originating around the rooftop solar-panel system. Publicly accessible reporting has not yet yielded an exact date, quantified damage, or a final component-level cause.",Electrical fire | Cause not fully published,Web source: www.fia.uk.com | Web source: www.suffolk.gov.uk,www-fia-uk-com_solar-panel-fires-at-suffolk-schools-prompt-safety-review-html_e6c66dcc4898.pdf | www-suffolk-gov-uk_suffolk-county-council-takes-precautionary-action-following-school-fir_6a70f9dc6ebe.pdf,web source,https://www.fia.uk.com/news/solar-panel-fires-at-suffolk-schools-prompt-safety-review.html | https://www.suffolk.gov.uk/council-and-democracy/council-news/suffolk-county-council-takes-precautionary-action-following-school-fire,partially_verified_websearch_workbook,R-0007,Electrical fire,Rooftop PV-associated school fire,Cause not fully published,Unknown,not reported,not reported,Industry association / local-government context,Medium,Partially verified,"Locate Suffolk Fire and Rescue incident log, exact date, damage description, and final cause.",One of three Suffolk school incidents; exact incident date unresolved. | Recovered from conversation record.,captured | captured
not reported,not reported,not reported,system level,2026-03-12,not reported,2026,2026,not reported,not reported,not reported,not reported,not reported,United States,"Rural Kankakee Township, Kankakee County, Illinois, United States",not reported,not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.9,not reported,not reported,not reported,not reported,not reported,not reported,Active PV panel fire,"[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0008; source capture statuses: captured (https://www.shawlocal.com/daily-journal/2026/03/13/firefighters-battle-fire-in-panel-at-solar-farm-located-in-kankakee-county/); capture_failed (https://patch.com/illinois/manhattan/fire-breaks-solar-farm-tornado-recovery-efforts-continue-kankakee-sheriff),PVF-024,Discrete incident,Unnamed solar farm southwest of Kankakee,2026-03-12,2026-03-12,equipment_failure,"[""equipment_failure""]",Fire | Active PV panel fire | Cause unresolved; recent storm damage was a possible context,Active PV panel fire,Multiple fire agencies responded to a fire involving an active panel at a solar farm southwest of Kankakee. The incident was resolved without reported injuries; the site had been affected by severe storms earlier that week.,not reported,not reported,Rural Kankakee Township,Kankakee County,Illinois,not reported,not reported,unmapped,not_reported,not reported,Multiple fire agencies responded to a fire involving an active panel at a solar farm southwest of Kankakee. The incident was resolved without reported injuries; the site had been affected by severe storms earlier that week.,Fire | Cause unresolved; recent storm damage was a possible context,Web source: www.shawlocal.com | Web source: patch.com,www-shawlocal-com_page_f6193b4a6fa9.pdf,web source,https://www.shawlocal.com/daily-journal/2026/03/13/firefighters-battle-fire-in-panel-at-solar-farm-located-in-kankakee-county/ | https://patch.com/illinois/manhattan/fire-breaks-solar-farm-tornado-recovery-efforts-continue-kankakee-sheriff,verified_websearch_workbook,R-0008,Fire,Active PV panel fire,Cause unresolved; recent storm damage was a possible context,Localized,not reported,not reported,Local news / sheriff statements,High,Verified,"Identify the project, quantify damage, and determine whether storm damage contributed to ignition.",Project name not disclosed in available reporting. | Recovered from conversation record.,captured | capture_failed
not reported,not reported,not reported,system level,2026-03-10,not reported,2026,2026,not reported,not reported,not reported,not reported,not reported,Gibraltar,"Europa Point, Gibraltar","36.110000, -5.346000",not reported,not reported,not reported,not reported,not reported,"[""web-search workbook""]",0.9,not reported,not reported,not reported,not reported,not reported,not reported,Rooftop PV cable arcing and panel fire,"[""equipment_failure""]",not reported,not reported,User-supplied web-search workbook record R-0009; source capture statuses: capture_failed (https://www.gbc.gi/news/firefighters-put-out-blaze-at-europa-point-stadium-after-solar-panels-on-the-roof-caught-fire); captured (https://www.pv-magazine.com/2026/03/13/fire-hits-pv-equipped-sport-complex-in-gibraltar/),PVF-025,Discrete incident,Europa Point Stadium rooftop PV,2026-03-10,2026-03-10,equipment_failure,"[""equipment_failure""]",Electrical fire | Rooftop PV cable arcing and panel fire | Overheated arcing cable / electrical fault,Rooftop PV cable arcing and panel fire,An electrical fault involving an overheated arcing cable caused a fire in the rooftop PV system. Two fire appliances attended and extinguished the blaze in about 20 minutes. The area was made safe and no injuries were reported.,not reported,not reported,Europa Point,not reported,not reported,36.110000,-5.346000,source_reported_workbook,not reported,Workbook coordinate precision: not reported.,An electrical fault involving an overheated arcing cable caused a fire in the rooftop PV system. Two fire appliances attended and extinguished the blaze in about 20 minutes. The area was made safe and no injuries were reported.,Electrical fire | Overheated arcing cable / electrical fault,Web source: www.gbc.gi | Web source: www.pv-magazine.com,www-pv-magazine-com_page_6bb2fad618b3.pdf,web source,https://www.gbc.gi/news/firefighters-put-out-blaze-at-europa-point-stadium-after-solar-panels-on-the-roof-caught-fire | https://www.pv-magazine.com/2026/03/13/fire-hits-pv-equipped-sport-complex-in-gibraltar/,verified_websearch_workbook,R-0009,Electrical fire,Rooftop PV cable arcing and panel fire,Overheated arcing cable / electrical fault,Localized,not reported,not reported,Fire-service spokesperson via public broadcaster / trade press,High,Verified,Obtain Gibraltar Fire and Rescue Service incident report and quantify damaged modules/cabling.,Distinct from the May 2023 fire at the same complex. | Recovered from conversation summary and reverified.,capture_failed | captured
